DATA_KEY_PROC,DATA_KEY_CONSTR1,DATA_KEY_CONSTR2,DATA_KEY_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,NAtoZERO,SCALING,COMMENTS,
QC.PRD.JJ.TN.SHP,QC.PRD.JJ.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QC.PRD.JJ.TN.GR10,QC.PRD.JJ.TN.NO,,QC.PRD.FC.TN.NO,growth,10,geo,weighted.mean,,,ls,
QC.PRD.JJ.TN.GR11,QC.PRD.JJ.TN.NO,,QC.PRD.FC.TN.NO,growth,11,geo,weighted.mean,,,ls,
QC.RHRV.JJ.HA.NO,,,,,,,sum,,,,
QC.RHRV.JJ.HA.GR10,QC.RHRV.JJ.HA.NO,,QC.RHRV.JJ.HA.NO,growth,10,geo,weighted.mean,,,ls,
QC.RHRV.JJ.HA.GR11,QC.RHRV.JJ.HA.NO,,QC.RHRV.JJ.HA.NO,growth,11,geo,weighted.mean,,,ls,
QC.YIELD.JJ.HG.NO,,,QC.RHRV.JJ.HA.NO,,,,weighted.mean,,,I weighted the yield by the harvested area,
QC.YIELD.JJ.HG.GR10,QC.YIELD.JJ.HG.NO,,QC.YIELD.JJ.HG.NO,growth,10,geo,weighted.mean,,,ls,
QC.YIELD.JJ.HG.GR11,QC.YIELD.JJ.HG.NO,,QC.YIELD.JJ.HG.NO,growth,11,geo,weighted.mean,,,ls,
QA.STCK.CB.HD.NO,,,,,,,sum,,,,
QA.STCK.CB.HD.SHW,QA.STCK.CB.HD.NO,,,share,,,sum,,100,,
QA.STCK.CB.HD.SHL,QA.STCK.CB.HD.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,,,
QA.STCK.CB.HD.GR11,QA.STCK.CB.HD.NO,,QA.STCK.CB.HD.NO,growth,11,geo,weighted.mean,,,ls,
QA.STCK.SG.HD.NO,,,,,,,sum,,,,
QA.STCK.SG.HD.SHW,QA.STCK.SG.HD.NO,,,share,,,sum,,100,,
QA.STCK.SG.HD.SHL,QA.STCK.SG.HD.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,,,
QA.STCK.SG.HD.GR11,QA.STCK.SG.HD.NO,,QA.STCK.SG.HD.NO,growth,11,geo,weighted.mean,,,ls,
QA.STCK.PB.HD.NO,,,,,,,sum,,,,
QA.STCK.PB.HD.SHL,QA.STCK.PB.HD.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,,,
QA.STCK.PB.HD.SHW,QA.STCK.PB.HD.NO,,,share,,,sum,,100,,
QA.STCK.PB.HD.GR11,QA.STCK.PB.HD.NO,,QA.STCK.PB.HD.NO,growth,11,geo,weighted.mean,,,ls,
QA.STCK.PIG.HD.NO,,,,,,,sum,,,,
QA.STCK.PIG.HD.SHW,QA.STCK.PIG.HD.NO,,,share,,,sum,,100,,
QA.STCK.PIG.HD.SHL,QA.STCK.PIG.HD.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,,,
QA.STCK.PIG.HD.GR11,QA.STCK.PIG.HD.NO,,QA.STCK.PIG.HD.NO,growth,11,geo,weighted.mean,,,,
QA.STCK.CHI.HD.NO,,,,,,,sum,,,,
QA.STCK.DU.HD.NO,,,,,,,sum,,,,
QA.STCK.GGF.HD.NO,,,,,,,sum,,,,
QA.STCK.TU.HD.NO,,,,,,,sum,,,,
QD.PRD.BOB.TN.NO,,,,,,,sum,,,,
QD.PRD.CCO.TN.NO,,,,,,,sum,,,,
QD.PRD.CL.TN.NO,,,,,,,sum,,,,
QD.PRD.CSO.TN.NO,,,,,,,sum,,,,
QD.PRD.CS.TN.NO,,,,,,,sum,,,,
QD.PRD.GNO.TN.NO,,,,,,,sum,,,,
QD.PRD.LSO.TN.NO,,,,,,,sum,,,,
QD.PRD.MO.TN.NO,,,,,,,sum,,,,
QD.PRD.MS.TN.NO,,,,,,,sum,,,,
QD.PRD.ML.TN.NO,,,,,,,sum,,,,
QD.PRD.OOV.TN.NO,,,,,,,sum,,,,
QD.PRD.PKO.TN.NO,,,,,,,sum,,,,
QD.PRD.PK.TN.NO,,,,,,,sum,,,,
QD.PRD.PO.TN.NO,,,,,,,sum,,,,
QD.PRD.RO.TN.NO,,,,,,,sum,,,,
QD.PRD.SAFO.TN.NO,,,,,,,sum,,,,
QD.PRD.SO.TN.NO,,,,,,,sum,,,,
QD.PRD.SBO.TN.NO,,,,,,,sum,,,,
QD.PRD.SRC.TN.NO,,,,,,,sum,,,,
QD.PRD.SUFO.TN.NO,,,,,,,sum,,,,
QD.PRD.WINE.TN.NO,,,,,,,sum,,,,
QD.PRD.WINE.TN.SHW,QD.PRD.WINE.TN.NO,,,share,,,sum,,100,,
QC.PRD.FRUNOGR.TN.NO,,,,manual,,,sum,,,,
QC.PRD.FRUNOGR.TN.GR11,QC.PRD.FRUNOGR.TN.NO,,QC.PRD.FRUNOGR.TN.NO,growth,11,geo,weighted.mean,,,,
QC.PRD.FRUNOGR.TN.SHW,QC.PRD.FRUNOGR.TN.NO,,,share,,,sum,,100,,
QD.RHRV.VINE.HA.NO,,,,,,,sum,,,,
QD.RHRV.VINE.HA.SHW,QD.RHRV.VINE.HA.NO,,,share,,,sum,,100,,
QD.RHRV.VINE.HA.SHL,QD.RHRV.VINE.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,100,,
QC.RHRV.FRUNOGR.HA.NO,,,,manual,,,sum,,,,
QC.RHRV.FRUNOGR.HA.GR11,QC.RHRV.FRUNOGR.HA.NO,,QC.RHRV.FRUNOGR.HA.NO,growth,11,geo,weighted.mean,,,,
QC.RHRV.FRUNOGR.HA.SHW,QC.RHRV.FRUNOGR.HA.NO,,,share,,,sum,,100,,
QC.RHRV.FRUNOGR.HA.SHL,QC.RHRV.FRUNOGR.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,100,,
QL.PRD.TOT.TN.NO,,,,,,,sum,,,,
QL.PRD.TOT.TN.SHP,QL.PRD.TOT.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QL.PRD.TOT.TN.GR10,QL.PRD.TOT.TN.NO,,QL.PRD.TOT.TN.NO,growth,10,geo,weighted.mean,,,ls,
QL.PRD.TOT.TN.GR11,QL.PRD.TOT.TN.NO,,QL.PRD.TOT.TN.NO,growth,11,geo,weighted.mean,,,ls,
QL.PRD.BB.TN.NO,,,,,,,sum,,,,
QL.PRD.BB.TN.SHP,QL.PRD.BB.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QL.PRD.BB.TN.GR10,QL.PRD.BB.TN.NO,,QL.PRD.BB.TN.NO,growth,10,geo,weighted.mean,,,ls,
QL.PRD.BB.TN.GR11,QL.PRD.BB.TN.NO,,QL.PRD.BB.TN.NO,growth,11,geo,weighted.mean,,,ls,
QL.PRD.SG.TN.NO,,,,,,,sum,,,,
QL.PRD.SG.TN.SHP,QL.PRD.SG.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QL.PRD.SG.TN.GR10,QL.PRD.SG.TN.NO,,QL.PRD.SG.TN.NO,growth,10,geo,weighted.mean,,,ls,
QL.PRD.SG.TN.GR11,QL.PRD.SG.TN.NO,,QL.PRD.SG.TN.NO,growth,11,geo,weighted.mean,,,ls,
QL.PRD.POU.TN.NO,,,,,,,sum,,,,
QL.PRD.POU.TN.SHP,QL.PRD.POU.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QL.PRD.POU.TN.GR10,QL.PRD.POU.TN.NO,,QL.PRD.POU.TN.NO,growth,10,geo,weighted.mean,,,ls,
QL.PRD.POU.TN.GR11,QL.PRD.POU.TN.NO,,QL.PRD.POU.TN.NO,growth,11,geo,weighted.mean,,,ls,
QL.PRD.PIG.TN.NO,,,,,,,sum,,,,
QL.PRD.PIG.TN.SH,QL.PRD.PIG.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QL.PRD.PIG.TN.GR10,QL.PRD.PIG.TN.NO,,QL.PRD.PIG.TN.NO,growth,10,geo,weighted.mean,,,ls,
QL.PRD.PIG.TN.GR11,QL.PRD.PIG.TN.NO,,QL.PRD.PIG.TN.NO,growth,11,geo,weighted.mean,,,ls,
QL.PRD.EGG.TN.NO,,,,,,,sum,,,,
QL.PRD.EGG.TN.GR10,QL.PRD.EGG.TN.NO,,QL.PRD.EGG.TN.NO,growth,10,geo,weighted.mean,,,ls,
QL.PRD.EGG.TN.GR11,QL.PRD.EGG.TN.NO,,QL.PRD.EGG.TN.NO,growth,11,geo,weighted.mean,,,ls,
QL.PRD.MILK.TN.NO,,,,,,,sum,,,,
QL.PRD.MILK.TN.GR10,QL.PRD.MILK.TN.NO,,QL.PRD.MILK.TN.NO,growth,10,geo,weighted.mean,,,ls,
QL.PRD.MILK.TN.GR11,QL.PRD.MILK.TN.NO,,QL.PRD.MILK.TN.NO,growth,11,geo,weighted.mean,,,ls,
QP.PRD.BG.TN.NO,,,,,,,sum,,,,
QP.PRD.BG.TN.GR11,QP.PRD.BG.TN.NO,,QP.PRD.BG.TN.NO,growth,11,geo,weighted.mean,,,ls,
QP.PRD.CH.TN.NO,,,,,,,sum,,,,
QP.PRD.CH.TN.GR11,QP.PRD.CH.TN.NO,,QP.PRD.CH.TN.NO,growth,11,geo,weighted.mean,,,ls,
QP.PRD.ECM.TN.NO,,,,,,,sum,,,,
QP.PRD.SMBD.TN.NO,,,,,,,sum,,,,
QP.PRD.WOOL.TN.NO,,,,,,,sum,,,,
MUV,,,,,,,,,,no aggregation has to be done,
TP.EXVAL.FOOD.USD.NO,,,,,,,sum,,,trade,
TP.IMVAL.FOOD.USD.NO,,,,,,,sum,,,trade,
TP.EXVOL.CRLS.TN.NO,,,,,,,sum,,,trade,
TP.IMVOL.CRLS.TN.NO,,,,,,,sum,,,trade,
TP.EXVAL.CRLS.USD.NO,,,,,,,sum,,,trade,
TP.IMVAL.CRLS.USD.NO,,,,,,,sum,,,trade,
TP.EXVAL.CRLSPREP.USD.NO,,,,,,,sum,,,trade,
TP.EXVAL.CRLSPREP.USD.SH,TP.EXVAL.CRLSPREP.USD.NO,MUV,,share,,,sum,,,trade,mean or sum?
TP.IMVAL.CRLSPREP.USD.NO,,,,,,,sum,,,trade,
TP.IMVAL.CRLSPREP.USD.SH,TP.IMVAL.CRLSPREP.USD.NO,MUV,,share,,,sum,,,trade,mean or sum?
TP.NETVAL.CRLSPREP.USD.NO,,,,manual,,,sum,,,trade,
TP.NETVAL.CRLSPREP.USD.SH,TP.NETVAL.CRLSPREP.USD.NO,MUV,,share,,,sum,,,trade,mean or sum?
TP.EXVOL.MEAT.TN.NO,,,,,,,sum,,,trade,
TP.IMVOL.MEAT.TN.NO,,,,,,,sum,,,trade,
TP.EXVAL.MEATPREP.USD.NO,,,,,,,sum,,,trade,
TP.EXVAL.MEATPREP.USD.SH,TP.EXVAL.MEATPREP.USD.NO,MUV,,share,,,sum,,,trade,mean or sum?
TP.IMVAL.MEATPREP.USD.NO,,,,,,,sum,,,trade,
TP.IMVAL.MEATPREP.USD.SH,TP.IMVAL.MEATPREP.USD.NO,MUV,,share,,,sum,,,trade,mean or sum?
TP.NETVAL.MEATPREP.USD.NO,,,,manual,,,sum,,,trade,
TP.NETVAL.MEATPREP.USD.SH,TP.NETVAL.MEATPREP.USD.NO,MUV,,share,,,sum,,,trade,mean or sum?
TP.EXVAL.FV.USD.NO,,,,,,,sum,,,trade,
TP.EXVAL.FV.USD.SH,TP.EXVAL.FV.USD.NO,MUV,,share,,,sum,,,trade,
TP.IMVAL.FV.USD.NO,,,,,,,sum,,,trade,
TP.IMVAL.FV.USD.SH,TP.IMVAL.FV.USD.NO,MUV,,share,,,sum,,,trade,
TP.NETVAL.FV.USD.NO,,,,manual,,,sum,,,trade,
TP.NETVAL.FV.USD.SH,TP.NETVAL.FV.USD.NO,MUV,,share,,,sum,,,trade,
TP.EXVOL.MILKEQ.TN.NO,,,,,,,sum,,,trade,
TP.IMVOL.MILKEQ.TN.NO,,,,,,,sum,,,trade,
TP.EXVAL.MILKEQ.USD.NO,,,,,,,sum,,,trade,
TP.EXVAL.MILKEQ.USD.SH,TP.EXVAL.MILKEQ.USD.NO,MUV,,share,,,sum,,,trade,
TP.IMVAL.MILKEQ.USD.NO,,,,,,,sum,,,trade,
TP.IMVAL.MILKEQ.USD.SH,TP.IMVAL.MILKEQ.USD.NO,MUV,,share,,,sum,,,trade,
TP.NETVAL.MILKEQ.USD.NO,,,,manual,,,sum,,,,
TP.NETVAL.MILKEQ.USD.SH,TP.NETVAL.MILKEQ.USD.NO,MUV,,share,,,sum,,,,
TP.EXVOL.ANFATS.TN.NO,,,,,,,sum,,,trade,
TP.IMVOL.ANFATS.TN.NO,,,,,,,sum,,,trade,
TP.EXVAL.ANFATS.USD.NO,,,,,,,sum,,,trade,
TP.EXVAL.ANFATS.USD.SH,TP.EXVAL.ANFATS.USD.NO,MUV,,share,,,sum,,,trade,
TP.IMVAL.ANFATS.USD.NO,,,,,,,sum,,,trade,
TP.IMVAL.ANFATS.USD.SH,TP.IMVAL.ANFATS.USD.NO,MUV,,share,,,sum,,,trade,
TP.EXVOL.OILSEEDS.TN.NO,,,,,,,sum,,,trade,
TP.IMVOL.OILSEEDS.TN.NO,,,,,,,sum,,,trade,
TP.EXVAL.OILSEEDS.USD.NO,,,,,,,sum,,,trade,
TP.EXVAL.OILSEEDS.USD.SH,TP.EXVAL.OILSEEDS.USD.NO,MUV,,share,,,sum,,,trade,
TP.IMVAL.OILSEEDS.USD.NO,,,,,,,sum,,,trade,
TP.IMVAL.OILSEEDS.USD.SH,TP.IMVAL.OILSEEDS.USD.NO,MUV,,share,,,sum,,,trade,
TP.EXVOL.MISC.TN.NO,,,,,,,sum,,,trade,
TP.IMVOL.MISC.TN.NO,,,,,,,sum,,,trade,
TP.EXVAL.MISC.USD.NO,,,,,,,sum,,,trade,
TP.IMVAL.MISC.USD.NO,,,,,,,sum,,,trade,
TP.EXVOL.SUGHON.TN.NO,,,,,,,sum,,,trade,
TP.IMVOL.SUGHON.TN.NO,,,,,,,sum,,,trade,
TP.EXVAL.SUGHON.USD.NO,,,,,,,sum,,,trade,
TP.EXVAL.SUGHON.USD.SH,TP.EXVAL.SUGHON.USD.NO,MUV,,share,,,sum,,,trade,
TP.IMVAL.SUGHON.USD.NO,,,,,,,sum,,,trade,
TP.IMVAL.SUGHON.USD.SH,TP.IMVAL.SUGHON.USD.NO,MUV,,share,,,sum,,,trade,
TP.NETVAL.SUGHON.USD.NO,,,,manual,,,sum,,,,
TP.NETVAL.SUGHON.USD.SH,TP.NETVAL.SUGHON.USD.NO,MUV,,share,,,sum,,,trade,
TP.EXVOL.VEGOIL.TN.NO,,,,,,,sum,,,trade,
TP.IMVOL.VEGOIL.TN.NO,,,,,,,sum,,,trade,
TP.EXVAL.VEGOIL.USD.NO,,,,,,,sum,,,trade,
TP.EXVAL.VEGOIL.USD.SH,TP.EXVAL.VEGOIL.USD.NO,MUV,,share,,,sum,,,trade,
TP.IMVAL.VEGOIL.USD.NO,,,,,,,sum,,,trade,
TP.IMVAL.VEGOIL.USD.SH,TP.IMVAL.VEGOIL.USD.NO,MUV,,share,,,sum,,,trade,
TP.NETVAL.AFOVO.USD.NO,,,,manual,,,sum,,,,
TP.NETVAL.AFOVO.USD.SH,TP.NETVAL.AFOVO.USD.NO,MUV,,share,,,sum,,,,
TP.EXVAL.CTCS.USD.NO,,,,,,,sum,,,trade,
TP.EXVAL.CTCS.USD.SH,TP.EXVAL.CTCS.USD.NO,MUV,,share,,,sum,,,trade,
TP.IMVAL.CTCS.USD.NO,,,,,,,sum,,,trade,
TP.IMVAL.CTCS.USD.SH,TP.IMVAL.CTCS.USD.NO,MUV,,share,,,sum,,,trade,
TP.NETVAL.CTCS.USD.NO,,,,manual,,,sum,,,,
TP.NETVAL.CTCS.USD.SH,TP.NETVAL.CTCS.USD.NO,MUV,,share,,,sum,,,trade,
TP.EXVOL.BEV.TN.NO,,,,,,,sum,,,trade,
TP.IMVOL.BEV.TN.NO,,,,,,,sum,,,trade,
TP.EXVAL.BEV.USD.NO,,,,,,,sum,,,trade,
TP.EXVAL.BEV.USD.SH,TP.EXVAL.BEV.USD.NO,MUV,,share,,,sum,,,trade,
TP.IMVAL.BEV.USD.NO,,,,,,,sum,,,trade,
TP.IMVAL.BEV.USD.SH,TP.IMVAL.BEV.USD.NO,MUV,,share,,,sum,,,trade,
TP.NETVAL.BEV.USD.NO,,,,manual,,,sum,,,,
TP.NETVAL.BEV.USD.SH,TP.NETVAL.BEV.USD.NO,MUV,,share,,,sum,,,,
TI.IMVAL.FOOD.IN.NO,,,,,,,,,,no aggregation has to be done,
DP.CON.TOT.PPL.NO,,,,,,,sum,YES,,displaced people,
DP.CON.TOTF.PPL.NO,,,,,,,sum,YES,,displaced people,
DP.CON.TOTM.PPL.NO,,,,,,,sum,YES,,displaced people,
DP.CON.REF.PPL.NO,,,,,,,sum,YES,,displaced people,
DP.CON.IDP.PPL.NO,,,,,,,sum,YES,,displaced people,
DP.CON.O.PPL.NO,,,,,,,sum,YES,,displaced people,
DP.CON.AS.PPL.NO,,,,,,,sum,YES,,displaced people,
DP.CON.RETREF.PPL.NO,,,,,,,sum,YES,,displaced people,
DP.CON.RETIDP.PPL.NO,,,,,,,sum,YES,,displaced people,
DP.CON.SL.PPL.NO,,,,,,,sum,YES,,displaced people,
FI.PRD.CAPT.TN.NO,,,,,,,sum,,,,
FI.PRD.CAPT.TN.GR11,FI.PRD.CAPT.TN.NO,,FI.PRD.CAPT.TN.NO,growth,11,geo,weighted.mean,,,,
FI.PRD.CAPT.TN.SH,FI.PRD.CAPT.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
FI.PRD.CAPT.TN.SHW,FI.PRD.CAPT.TN.NO,,,share,,,sum,,100,,
FI.PRD.CAPTIN.TN.NO,,,,,,,sum,,,,
FI.PRD.CAPTMA.TN.NO,,,,,,,sum,,,,
FI.PRD.AQ.TN.NO,,,,,,,sum,,,,
FI.PRD.AQ.TN.GR11,FI.PRD.AQ.TN.NO,,FI.PRD.AQ.TN.NO,growth,11,geo,weighted.mean,,,,
FI.PRD.AQ.TN.SH,FI.PRD.AQ.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
FI.PRD.AQ.TN.SHW,FI.PRD.AQ.TN.NO,,,share,,,sum,,100,,
FI.PRD.AQIN.TN.NO,,,,,,,sum,,,,
FI.PRD.AQMA.TN.NO,,,,,,,sum,,,,
FI.PRD.CAPTCPH.TN.NO,,,,,,,sum,,,fish,
FI.PRD.CAPTCPH.TN.SH,FI.PRD.CAPTCPH.TN.NO,FI.PRD.CAPT.TN.NO,FI.PRD.CAPT.TN.NO,share,,,weighted.mean,,100,,
FI.PRD.CAPTMEC.TN.NO,,,,,,,sum,,,fish,
FI.PRD.CAPTMEC.TN.SH,FI.PRD.CAPTMEC.TN.NO,FI.PRD.CAPT.TN.NO,FI.PRD.CAPT.TN.NO,share,,,weighted.mean,,100,,
FI.PRD.CAPTCRS.TN.NO,,,,,,,sum,,,fish,
FI.PRD.CAPTCRS.TN.SH,FI.PRD.CAPTCRS.TN.NO,FI.PRD.CAPT.TN.NO,FI.PRD.CAPT.TN.NO,share,,,weighted.mean,,100,,
FI.PRD.CAPTFDF.TN.NO,,,,,,,sum,,,fish,
FI.PRD.CAPTFDF.TN.SH,FI.PRD.CAPTFDF.TN.NO,FI.PRD.CAPT.TN.NO,FI.PRD.CAPT.TN.NO,share,,,weighted.mean,,100,,
FI.PRD.CAPTMFNF.TN.NO,,,,,,,sum,,,fish,
FI.PRD.CAPTMFNF.TN.SH,FI.PRD.CAPTMFNF.TN.NO,FI.PRD.CAPT.TN.NO,FI.PRD.CAPT.TN.NO,share,,,weighted.mean,,100,,
FI.PRD.CAPTOTH.TN.NO,,,,,,,sum,,,fish,
FI.PRD.CAPTOTH.TN.SH,FI.PRD.CAPTOTH.TN.NO,FI.PRD.CAPT.TN.NO,FI.PRD.CAPT.TN.NO,share,,,weighted.mean,,100,,
FI.PRD.AQCPH.TN.NO,,,,,,,sum,,,fish,
FI.PRD.AQCPH.TN.SH,FI.PRD.AQCPH.TN.NO,FI.PRD.AQ.TN.NO,FI.PRD.AQ.TN.NO,share,,,weighted.mean,,100,,
FI.PRD.AQMEC.TN.NO,,,,,,,sum,,,fish,
FI.PRD.AQMEC.TN.SH,FI.PRD.AQMEC.TN.NO,FI.PRD.AQ.TN.NO,FI.PRD.AQ.TN.NO,share,,,weighted.mean,,100,,
FI.PRD.AQCRS.TN.NO,,,,,,,sum,,,fish,
FI.PRD.AQCRS.TN.SH,FI.PRD.AQCRS.TN.NO,FI.PRD.AQ.TN.NO,FI.PRD.AQ.TN.NO,share,,,weighted.mean,,100,,
FI.PRD.AQFDF.TN.NO,,,,,,,sum,,,fish,
FI.PRD.AQFDF.TN.SH,FI.PRD.AQFDF.TN.NO,FI.PRD.AQ.TN.NO,FI.PRD.AQ.TN.NO,share,,,weighted.mean,,100,,
FI.PRD.AQMFNF.TN.NO,,,,,,,sum,,,fish,
FI.PRD.AQMFNF.TN.SH,FI.PRD.AQMFNF.TN.NO,FI.PRD.AQ.TN.NO,FI.PRD.AQ.TN.NO,share,,,weighted.mean,,100,,
FI.PRD.AQOTH.TN.NO,,,,,,,sum,,,fish,
FI.PRD.AQOTH.TN.SH,FI.PRD.AQOTH.TN.NO,FI.PRD.AQ.TN.NO,FI.PRD.AQ.TN.NO,share,,,weighted.mean,,100,,
FI.EXVAL.FISH.USD.NO,,,,,,,sum,,,,
FI.EXVAL.FISH.USD.SH,FI.EXVAL.FISH.USD.NO,MUV,,share,,,sum,,,trade,
FI.IMVAL.FISH.USD.NO,,,,,,,sum,,,fish,
FI.IMVAL.FISH.USD.SH,FI.IMVAL.FISH.USD.NO,MUV,,share,,,sum,,,trade,
FI.NETVAL.FISH.USD.NO,,,,manual,,,sum,,,,
FI.NETVAL.FISH.USD.SH,FI.NETVAL.FISH.USD.NO,MUV,,share,,,sum,,,trade,
EN.BIR.THRD.NO,,,,,,,sum,,,,
EN.FSH.THRD.NO,,,,,,,sum,,,,
EN.MAM.THRD.NO,,,,,,,sum,,,,
EN.HPT.THRD.NO,,,,,,,sum,,,,
